entityName,fieldName,label,type,length,precision,scale,temporal,enumerated,joinColumn,nullable,onList,sortable,onView,onEdit,lowFakeValue,highFakeValue
acct,name,name,String,50,,,,,,false,true,true,true,edit,,
acct,nickname,nickname,String,50,,,,,,,true,true,true,edit,,
acct,type,type,String,10,,,,,,false,true,true,true,edit,,
acct,addressName,address name,String,50,,,,,,,,,true,edit,,
acct,address1,address line 1,String,50,,,,,,,,,true,edit,,
acct,address2,address line 2,String,50,,,,,,,,,true,edit,,
acct,city,city,String,50,,,,,,,,,true,edit,,
acct,state,state code,String,2,,,,,,,,,true,edit,,
acct,zipCode,zip code,String,10,,,,,,,,,true,edit,,
acct,phoneNumber,phone number,String,20,,,,,,,,,true,edit,,
acct,creditLimit,credit limit,BigDecimal,,9,2,,,,,true,true,true,edit,100,99999
acct,cronString,cron string,String,20,,,,,,,true,true,true,edit,,
acct,active,active,Boolean,,,,,,,false,true,true,true,edit,,
cat,name,name,String,100,,,,,,false,true,true,true,edit,,
acctNbr,acct,account,Acct,,,,,,acct_id,false,,,true,edit,,
acctNbr,number,number,String,50,,,,,,false,true,true,true,edit,,
acctNbr,effDate,effective date,Date,,,,DATE,,,false,true,true,true,edit,-300,0
stmt,acct,account,Acct,,,,,,acct_id,false,,,true,edit,,
stmt,openBalance,open balance,BigDecimal,,9,2,,,,,,,true,edit,-9999,9999
stmt,credits,credits,BigDecimal,,9,2,,,,,,,true,edit,-9999,9999
stmt,debits,debits,BigDecimal,,9,2,,,,,,,true,edit,-9999,9999
stmt,fees,fees,BigDecimal,,9,2,,,,,,,true,edit,-9999,9999
stmt,interest,interest,BigDecimal,,9,2,,,,,,,true,edit,-9999,9999
stmt,closeBalance,close balance,BigDecimal,,9,2,,,,false,true,true,true,edit,-9999,9999
stmt,minimumDue,minimum due,BigDecimal,,9,2,,,,,true,true,true,edit,-9999,9999
stmt,dueDate,due date,Date,,,,DATE,,,,true,true,true,edit,-300,90
stmt,closeDate,close date,Date,,,,DATE,,,false,true,true,true,edit,-300,90
dataFile,originalFilename,original file name,String,100,,,,,,false,true,true,true,edit,,
dataFile,contentType,content type,String,100,,,,,,false,true,true,true,edit,,
dataFile,size,size,Long,,,,,,,false,true,true,true,edit,1,9999
